code,label,domain,layer,reason,excluded_edge_count
1,Health & Longevity,Health,1,non_indicator_hierarchy_node,0
10403,Spending on Medical Products and Equipment,Economic,5,numeric_category_id,272
10404,International Price Comparison - Category 10404,Economic,5,numeric_category_id,136
10405,Recreation and Culture Spending,Economic,4,numeric_category_id,280
10406,International Price Comparison Category 10406,Economic,5,numeric_category_id,408
13,Consumer Spending Category 13,Economic,4,numeric_category_id,1044
2,Education & Knowledge,Education,1,non_indicator_hierarchy_node,0
200101,Consumer Spending Category 200101,Economic,5,numeric_category_id,1120
200151,Spending on Restaurant and Hotel Services,Economic,5,numeric_category_id,840
200343,Consumer Spending Category 200343,Economic,5,numeric_category_id,840
20064,International Price Comparison - Category 20064,Environment,5,numeric_category_id,140
20065,Consumer Spending Category 20065,Economic,5,numeric_category_id,560
20070,Consumer Spending Category,Economic,5,numeric_category_id,1088
20071,Consumer Spending Category 20071,Economic,5,numeric_category_id,1120
20076,Consumer Spending Category 20076,Economic,5,numeric_category_id,2007
20077,International Price Comparison - Category 20077,Economic,5,numeric_category_id,2072
20082,Consumer Spending Category 20082,Economic,5,numeric_category_id,560
20083,International Price Comparison Category 20083,Economic,5,numeric_category_id,820
20162,Recreation and Culture Spending,Environment,5,numeric_category_id,140
20163,Spending on Insurance Services,Environment,5,numeric_category_id,140
20164,Spending on Personal Care Services,Environment,5,numeric_category_id,1120
20165,International Price Comparison Category 20165,Environment,5,numeric_category_id,1120
20170,20170,unknown,-1,upper_hierarchy_layer,0
20171,International Price Comparison - Category 20171,Environment,4,numeric_category_id,280
20176,20176,unknown,-1,upper_hierarchy_layer,0
20177,Household Spending Category 20177,Environment,4,numeric_category_id,108
20182,Consumer Spending Category 20182,Environment,5,numeric_category_id,808
20183,Consumer Spending Category 20183,Environment,5,numeric_category_id,1504
21500,Consumer Spending Category 21500,Economic,5,numeric_category_id,140
21501,Consumer Spending Category 21501,Environment,5,numeric_category_id,140
21502,Consumer Spending Category 21502,Environment,5,numeric_category_id,534
21503,Spending on Recreational and Cultural Services,Environment,5,numeric_category_id,352
21504,Consumer Spending Category 21504,Environment,5,numeric_category_id,913
21505,Household Spending Category 21505,Environment,5,numeric_category_id,256
21508,21508,unknown,-1,upper_hierarchy_layer,0
21509,21509,unknown,-1,upper_hierarchy_layer,0
21510,21510,unknown,-1,upper_hierarchy_layer,0
21511,Personal Care Spending,Environment,5,numeric_category_id,140
21514,21514,unknown,-1,upper_hierarchy_layer,0
21515,21515,unknown,-1,upper_hierarchy_layer,0
21517,21517,unknown,-1,upper_hierarchy_layer,0
25001,25001,unknown,-1,upper_hierarchy_layer,0
25003,Household Spending Category 25003,Economic,5,numeric_category_id,1680
25005,Consumer Spending Category 25005,Economic,5,numeric_category_id,214
25007,Consumer Spending Category 25007,Economic,5,numeric_category_id,280
25051,Consumer Spending Category 25051,Economic,5,numeric_category_id,1620
25052,25052,unknown,-1,upper_hierarchy_layer,0
25053,Consumer Spending Category 25053,Economic,5,numeric_category_id,840
25055,Spending Category 25055,Economic,5,numeric_category_id,756
25056,Price Comparison Category 25056,Economic,5,numeric_category_id,1698
25057,International Price Comparison - Category 25057,Economic,5,numeric_category_id,840
26420,26420,unknown,-1,upper_hierarchy_layer,0
26421,26421,unknown,-1,upper_hierarchy_layer,0
26422,26422,unknown,-1,upper_hierarchy_layer,0
26423,26423,unknown,-1,upper_hierarchy_layer,0
26424,26424,unknown,-1,upper_hierarchy_layer,0
26425,26425,unknown,-1,upper_hierarchy_layer,0
26426,26426,unknown,-1,upper_hierarchy_layer,0
26427,26427,unknown,-1,upper_hierarchy_layer,0
26428,26428,unknown,-1,upper_hierarchy_layer,0
26429,26429,unknown,-1,upper_hierarchy_layer,0
26430,26430,unknown,-1,upper_hierarchy_layer,0
26431,26431,unknown,-1,upper_hierarchy_layer,0
26432,26432,unknown,-1,upper_hierarchy_layer,0
26433,26433,unknown,-1,upper_hierarchy_layer,0
26434,26434,unknown,-1,upper_hierarchy_layer,0
26435,26435,unknown,-1,upper_hierarchy_layer,0
26436,26436,unknown,-1,upper_hierarchy_layer,0
26437,26437,unknown,-1,upper_hierarchy_layer,0
26438,26438,unknown,-1,upper_hierarchy_layer,0
26439,26439,unknown,-1,upper_hierarchy_layer,0
26440,26440,unknown,-1,upper_hierarchy_layer,0
26441,26441,unknown,-1,upper_hierarchy_layer,0
26442,26442,unknown,-1,upper_hierarchy_layer,0
26443,26443,unknown,-1,upper_hierarchy_layer,0
26444,26444,unknown,-1,upper_hierarchy_layer,0
26445,26445,unknown,-1,upper_hierarchy_layer,0
26446,26446,unknown,-1,upper_hierarchy_layer,0
26447,26447,unknown,-1,upper_hierarchy_layer,0
26448,26448,unknown,-1,upper_hierarchy_layer,0
26449,26449,unknown,-1,upper_hierarchy_layer,0
26450,26450,unknown,-1,upper_hierarchy_layer,0
26451,26451,unknown,-1,upper_hierarchy_layer,0
26452,26452,unknown,-1,upper_hierarchy_layer,0
26453,26453,unknown,-1,upper_hierarchy_layer,0
26454,26454,unknown,-1,upper_hierarchy_layer,0
26455,26455,unknown,-1,upper_hierarchy_layer,0
26456,26456,unknown,-1,upper_hierarchy_layer,0
26457,26457,unknown,-1,upper_hierarchy_layer,0
26458,26458,unknown,-1,upper_hierarchy_layer,0
26459,26459,unknown,-1,upper_hierarchy_layer,0
26460,26460,unknown,-1,upper_hierarchy_layer,0
26461,26461,unknown,-1,upper_hierarchy_layer,0
26462,26462,unknown,-1,upper_hierarchy_layer,0
26463,26463,unknown,-1,upper_hierarchy_layer,0
26464,26464,unknown,-1,upper_hierarchy_layer,0
26465,26465,unknown,-1,upper_hierarchy_layer,0
26467,26467,unknown,-1,upper_hierarchy_layer,0
26468,26468,unknown,-1,upper_hierarchy_layer,0
26469,26469,unknown,-1,upper_hierarchy_layer,0
26470,26470,unknown,-1,upper_hierarchy_layer,0
26471,26471,unknown,-1,upper_hierarchy_layer,0
26472,26472,unknown,-1,upper_hierarchy_layer,0
26473,26473,unknown,-1,upper_hierarchy_layer,0
26474,26474,unknown,-1,upper_hierarchy_layer,0
26476,26476,unknown,-1,upper_hierarchy_layer,0
26477,26477,unknown,-1,upper_hierarchy_layer,0
26478,26478,unknown,-1,upper_hierarchy_layer,0
26479,26479,unknown,-1,upper_hierarchy_layer,0
26480,26480,unknown,-1,upper_hierarchy_layer,0
26481,26481,unknown,-1,upper_hierarchy_layer,0
26482,26482,unknown,-1,upper_hierarchy_layer,0
26483,26483,unknown,-1,upper_hierarchy_layer,0
26484,26484,unknown,-1,upper_hierarchy_layer,0
26485,26485,unknown,-1,upper_hierarchy_layer,0
26486,26486,unknown,-1,upper_hierarchy_layer,0
26487,26487,unknown,-1,upper_hierarchy_layer,0
26488,26488,unknown,-1,upper_hierarchy_layer,0
26489,26489,unknown,-1,upper_hierarchy_layer,0
26490,26490,unknown,-1,upper_hierarchy_layer,0
26491,26491,unknown,-1,upper_hierarchy_layer,0
26492,26492,unknown,-1,upper_hierarchy_layer,0
26493,26493,unknown,-1,upper_hierarchy_layer,0
